Name,OS,Price,Resolution,Screen,Size,Primary,Secondary,Weight,Sensors,Announced
Xiaomi Redmi 5,Android 7.1.2 (Nougat),193.6,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)","IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~75.9% screen-to-body ratio)","12 MP (f/2.2, 1.25 &#956;m), phase detection autofocus, LED flash","5 MP, 1080p",157,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2017, December"
Huawei Honor 6A (Pro),Android 7.0 (Nougat),193.6,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.5% screen-to-body ratio)","13 MP, 28mm, phase detection autofocus, LED flash",5 MP,143,"Fingerprint (rear-mounted, region dependent), accelerometer, proximity, compass","2017, May"
Huawei Honor 7X,Android 7.0 (Nougat),199,"1080 x 2160 pixels, 18:9 ratio (~407 ppi density)","IPS LCD capacitive touchscreen, 16M colors","5.93 inches, 90.7 cm2 (~77.0% screen-to-body ratio)","Dual: 16 MP (1/2.9"", 1.25 Âµm) + 2 MP, phase detection autofocus, LED flash","8 MP, 1080p",165,"Fingerprint (rear-mounted), accelerometer, proximity, compass","2017, December"
Xiaomi Redmi Note 4 (MediaTek),Android 6.0 (Marshmallow),205.7,1080 x 1920 pixels (~401 ppi pixel density),"IPS LCD capacitive touchscreen, 16M colors",5.5 inches (~72.7% screen-to-body ratio),"13 MP, f/2.0, phase detection autofocus, dual-LED (dual tone) flash, check quality","5 MP, f/2.0, 720p",175,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2016, August"
Xiaomi Redmi 3x,Android 6.0.1 (Marshmallow),205.7,720 x 1280 pixels (~294 ppi pixel density),"IPS LCD capacitive touchscreen, 16M colors",5.0 inches (~71.1% screen-to-body ratio),"13 MP, f/2.0, phase detection autofocus, LED flash","5 MP, f/2.2, 1080p",144,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2016, June"
Xiaomi Redmi Note 4X,"Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat)",217.8,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~72.7% screen-to-body ratio)","13 MP (f/2.0, 1.12 Âµm), phase detection autofocus, dual-LED dual-tone flash","5 MP, f/2.0, 1080p",165,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2017, February"
Xiaomi Redmi Pro,Android 6.0 (Marshmallow),254.1,1080 x 1920 pixels (~401 ppi pixel density),"LTPS-AMOLED capacitive touchscreen, 16M colors",5.5 inches (~72.2% screen-to-body ratio),"Dual 13 MP + 5MP, f/2.0, phase detection autofocus, dual-LED (dual tone) flash, check quality","5 MP, f/2.0, 1080p",174,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","2016, July"
Xiaomi Mi 5c,Android 7.1 (Nougat),254.1,"1080 x 1920 pixels, 16:9 ratio (~428 ppi density)","IPS LCD capacitive touchscreen, 16M colors","5.15 inches, 73.1 cm2 (~72.6% screen-to-body ratio)","12 MP, f/2.2, 27mm, phase detection autofocus, dual-LED (dual tone) flash","8 MP, f/2.0, 27mm, 1080p",135,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","2017, February"
Xiaomi Redmi Pro 2,Android 6.0 (Marshmallow),254.1,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","LTPS-AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2","Dual: 12 MP (1/2.55"", 1.4 Âµm) + 5 MP, phase detection autofocus, dual-LED dual-tone flash","16 MP (1/2.6"", 1.12 Âµm)",-,"Fingerprint, accelerometer, gyro, proximity, compass",Not announced yet
Huawei Honor 6X,"Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat)",254.1,"1080 x 1920 pixels, 16:9 ratio (~403 ppi density)","LTPS IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 82.6 cm2 (~71.8% screen-to-body ratio)","Dual 12 MP + 2 MP, phase detection autofocus, LED flash","8 MP, 1080p",162,"Fingerprint (rear-mounted), accelerometer, proximity, compass","2016, October"
Xiaomi Mi A1,"Android 7.1.2 (Nougat), planned upgrade to Android 8.0 (Oreo); Android One",266.2,"1080 x 1920 pixels, 16:9 ratio (~403 ppi density)","LTPS IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 82.6 cm2 (~70.1% screen-to-body ratio)","Dual: 12 MP (f/2.2, 26mm, 1.25 Âµm) + 12 MP (f/2.6, 50mm, 1 Âµm), phase detection autofocus, 2x optical zoom, dual-LED dual-tone flash, check quality","5 MP, 1080p",165,"Fingerprint (rear-mounted), accelerometer, gyro, proximity","2017, September"
Huawei Honor Pad 2,Android 6.0 (Marshmallow),278.3,"1200 x 1920 pixels, 16:10 ratio (~283 ppi density)","IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~72.1% screen-to-body ratio)","8 MP, f/2.0, autofocus, LED flash",2 MP,340,"Accelerometer, proximity, compass","2016, October"
Xiaomi Mi Max 2,Android 7.1.1 (Nougat),338.8,"1080 x 1920 pixels, 16:9 ratio (~342 ppi density)","IPS LCD capacitive touchscreen, 16M colors","6.44 inches, 114.3 cm2 (~74.0% screen-to-body ratio)","12 MP (f/2.2, 1/2.9"", 1.25 Âµm), phase detection autofocus, dual-LED dual-tone flash, check quality","5 MP, f/2.0",211,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2017, May"
Xiaomi Mi Pad 3,Android OS,350.9,"1536 x 2048 pixels, 4:3 ratio (~326 ppi density)","IPS LCD capacitive touchscreen, 16M colors","7.9 inches, 190.9 cm2 (~71.8% screen-to-body ratio)","13 MP, f/2.2","5 MP, f/2.0",328,"Accelerometer, gyro, compass","2017, April"
Huawei Honor 8,"Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat)",411.4,1080 x 1920 pixels (~423 ppi pixel density),"LTPS IPS LCD capacitive touchscreen, 16M colors",5.2 inches (~72.5% screen-to-body ratio),"Dual 12 MP, f/2.2, 35mm, laser autofocus, dual-LED (dual tone) flash, check quality","8 MP, f/2.4, 1.4 Âµm pixel size",153,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2016, July"
Xiaomi Mi 6,Android 7.1.1 (Nougat),435.6,"1080 x 1920 pixels, 16:9 ratio (~428 ppi density)","IPS LCD capacitive touchscreen, 16M colors","5.15 inches, 73.1 cm2 (~71.4% screen-to-body ratio)","Dual 12 MP (27mm, f/1.8, OIS 4-axis & 52mm, f/2.6), 2x optical zoom, phase detection autofocus, dual-LED (dual tone) flash, check quality","8 MP, 1080p",168,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer","2017, April"
Xiaomi Mi 5s Plus,Android 6.0 (Marshmallow),447.7,1080 x 1920 pixels (~386 ppi pixel density),"IPS LCD capacitive touchscreen, 16M colors",5.7 inches (~74.6% screen-to-body ratio),"Dual 13 MP, f/2.0, phase detection autofocus, dual-LED (dual tone) flash, check quality","4 MP, f/2.0, 1/3"" sensor size, 2Âµm pixel size, 1080p",168,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","2016, September"
Apple iPad 9.7 (2017),"iOS 10.3, upgradable to iOS 11.2",471.9,"1536 x 2048 pixels, 4:3 ratio (~264 ppi density)","LED-backlit IPS LCD, capacitive touchscreen, 16M colors","9.7 inches, 291.4 cm2 (~71.6% screen-to-body ratio)","8 MP (f/2.4, 31mm, 1.12 Âµm), autofocus","1.2 MP (f/2.2, 31mm), 720p@30fps, face detection, HDR, FaceTime over Wi-Fi or Cellular",469,"Fingerprint (front-mounted), accelerometer, gyro, compass, barometer","2017, March"
Huawei Honor 9,Android 7.0 (Nougat),484,"1080 x 1920 pixels, 16:9 ratio (~428 ppi density)","LTPS IPS LCD capacitive touchscreen, 16M colors","5.15 inches, 73.1 cm2 (~70.0% screen-to-body ratio)","Dual: 12 MP (f/2.2, 27mm) + 20 MP (f/2.2, 27mm), phase detection autofocus, 2x lossless zoom, dual-LED dual-tone flash, check quality","8 MP, f/2.0",155,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","2017, June"
Xiaomi Mi Note 3,Android 7.1 (Nougat),496.1,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~73.8% screen-to-body ratio)","Dual: 12 MP (f/1.8, 27mm, 4-axis OIS) + 12 MP (f/2.6, 52mm), 2x optical zoom, phase detection autofocus, dual-LED dual-tone flash",16 MP (2.0 Âµm),163,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer","2017, September"
OnePlus 3T,"Android 6.0.1 (Marshmallow), upgradable to 7.1.1 (Nougat)",532.4,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Optic AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~73.1% screen-to-body ratio)","16 MP, f/2.0, phase detection autofocus, OIS, LED flash, check quality","16 MP, f/2.0, 1.0 Âµm pixel size, 1080p",158,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","2016, November"
Huawei Honor Note 8,Android 6.0.1 (Marshmallow),532.4,1440 x 2560 pixels (~443 ppi pixel density),"Super AMOLED capacitive touchscreen, 16M colors",6.6 inches (~74.6% screen-to-body ratio),"13 MP, f/2.0, autofocus, OIS, dual-LED (dual tone) flash","5 MP, f/2.0, 1080p",219,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2016, August"
Xiaomi Mi Mix,"Android 6.0 (Marshmallow), planned upgrade to 7.0 (Nougat)",592.9,"1080 x 2040 pixels, 17:9 ratio (~362 ppi density)","IPS LCD capacitive touchscreen, 16M colors","6.4 inches, 108.7 cm2 (~83.6% screen-to-body ratio)","16 MP, f/2.0, EIS (gyro), phase detection autofocus, dual-LED (dual tone) flash, check quality","5 MP, f/2.2, 1080p@30fps",209,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","2016, October"
OnePlus 5,Android 7.1.1 (Nougat),605,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Optic AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~73.0% screen-to-body ratio)","Dual: 16 MP (f/1.7, 24mm, 1/2.8"", 1.12 Âµm, gyro EIS) + 20 MP (f/2.6, 36mm, 1/2.8"", 1 Âµm) phase detection autofocus, 1.6x optical zoom, dual-LED flash, check quality","16 MP (f/2.0, 20mm, 1.0 Âµm), gyro EIS, 1080p, Auto HDR",153,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","2017, June. Released 2017, June"
OnePlus 5T,Android 7.1.1 (Nougat),605,"1080 x 2160 pixels, 18:9 ratio (~401 ppi density)","Optic AMOLED capacitive touchscreen, 16M colors","6.01 inches, 93.7 cm2 (~80.0% screen-to-body ratio)","Dual: 16 MP (f/1.7, 27mm, 1/2.8"", 1.12 Âµm, gyro EIS) + 20 MP (f/1.7, 27mm, 1/2.8"", 1 Âµm), phase detection autofocus, dual-LED flash, check quality","16 MP (f/2.0, 20mm, 1.0 Âµm), gyro EIS, Auto HDR, 1080p",162,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2017, November"
Huawei Honor Magic,Android 6.0 (Marshmallow),605,"1440 x 2560 pixels, 16:9 ratio (~577 ppi density)","AMOLED capacitive touchscreen, 16M colors","5.09 inches, 71.4 cm2 (~69.9% screen-to-body ratio)","Dual 12 MP, f/2.2, phase detection autofocus, dual-LED (dual tone) flash","8 MP, f/2.0, 1080p",145,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","2016, December"
Huawei Honor View 10,Android 8.0 (Oreo),605,"1080 x 2160 pixels, 18:9 ratio (~403 ppi density)","LTPS IPS LCD capacitive touchscreen, 16M colors","5.99 inches, 92.6 cm2 (~78.6% screen-to-body ratio)","Dual: 16 MP (f/1.8) + 20 MP, phase detection autofocus, LED flash","13 MP, f/2.0",172,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","2017, December"
Xiaomi Mi Mix 2,Android 7.1 (Nougat),629.2,"1080 x 2160 pixels, 18:9 ratio (~403 ppi density)","IPS LCD capacitive touchscreen, 16M colors","5.99 inches, 92.6 cm2 (~80.8% screen-to-body ratio)","12 MP (f/2.0, 1/2.9"", 1.25 Âµm), phase detection autofocus, 4-axis OIS, dual-LED dual-tone flash, check quality","5 MP, f/2.0, 1080p",185,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","2017, September"
Huawei Honor 8 Pro,Android 7.0 (Nougat),665.5,"1440 x 2560 pixels, 16:9 ratio (~515 ppi density)","LTPS IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm2 (~73.6% screen-to-body ratio)","Dual 12 MP, f/2.2, phase detection and laser autofocus, dual-LED (dual tone) flash, check quality","8 MP, f/2.0, 1080p",184,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2017, April"
Apple iPad Pro 10.5 (2017),"iOS 10.3.2, upgradable to iOS 11.2",883.3,"1668 x 2224 pixels, 4:3 ratio (~265 ppi density)","LED-backlit IPS LCD, capacitive touchscreen, 16M colors","10.5 inches, 341.4 cm2 (~78.3% screen-to-body ratio)","12 MP (f/1.8, 1/3""), phase detection autofocus, OIS, quad-LED dual-tone flash","7 MP (f/2.2, 32mm), 1080p@30fps, 720p@240fps,, face detection, HDR, panorama",469,"Fingerprint (front-mounted), accelerometer, gyro, compass, barometer","2017, June"
Google Pixel XL,Android 7.1 (Nougat),1064.8,1440 x 2560 pixels (~534 ppi pixel density),"AMOLED capacitive touchscreen, 16M colors",5.5 inches (~71.2% screen-to-body ratio),"12.3 MP, f/2.0, EIS (gyro), phase detection & laser autofocus, dual-LED (dual tone) flash, check quality","8 MP, f/2.4, 1/3.2"" sensor size, 1.4 Âµm pixel size, 1080p",168,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","2016, October"
Apple iPad Pro 12.9 (2017),"iOS 10.3.2, upgradable to iOS 11.2",1089,"2732 x 2048 pixels, 4:3 ratio (~265 ppi density)","LED-backlit IPS LCD, capacitive touchscreen, 16M colors","12.9 inches, 515.3 cm2 (~76.4% screen-to-body ratio)","12 MP (f/1.8, 1/3""), phase detection autofocus, OIS, quad-LED dual-tone flash","7 MP (f/2.2, 32mm), 1080p@30fps, 720p@240fps,, face detection, HDR, panorama",677,"Fingerprint (front-mounted), accelerometer, gyro, compass, barometer","2017, June"
Google Pixel 2 XL,Android 8.0 (Oreo),1137.4,"1440 x 2880 pixels, 18:9 ratio (~538 ppi density)","P-OLED capacitive touchscreen, 16M colors","6.0 inches, 92.6 cm2 (~76.4% screen-to-body ratio)","12.2 MP (f/1.8, 27mm, 1/2.6"", 1.4 Âµm, Dual Pixel PDAF), OIS, phase detection & laser autofocus, dual-LED flash, check quality","8 MP (f/2.4, 27mm, 1/3.2"", 1.4 Âµm), 1080p",175,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","2017, October"
Apple iPhone X,iOS 11.1.1,1391.5,"1125 x 2436 pixels, 19.5:9 ratio (~458 ppi density)","Super AMOLED capacitive touchscreen, 16M colors","5.8 inches, 84.4 cm2 (~82.9% screen-to-body ratio)","Dual: 12 MP (f/1.8, 28mm) + 12 MP (f/2.4, 52mm), OIS, phase detection autofocus, 2x optical zoom, quad-LED dual-tone flash, check quality","7 MP (f/2.2, 32mm), 1080p@30fps, 720p@240fps, face detection, HDR",174,"Face ID, accelerometer, gyro, proximity, compass, barometer","2017, September"
Apple iPhone,"iOS, upgradable to iOS 3.1.3",,320 x 480 pixels (~165 ppi pixel density),"TFT capacitive touchscreen, 16M colors",3.5 inches (~52.0% screen-to-body ratio),2 MP,No,135,"Accelerometer, proximity","2007, January. Released 2007, June"
Apple iPhone 3G,"iOS, upgradable to iOS 4.2.1",,320 x 480 pixels (~165 ppi pixel density),"TFT capacitive touchscreen, 16M colors",3.5 inches (~50.9% screen-to-body ratio),2 MP,No,133,"Accelerometer, proximity","2008, June. Released 2008, July"
Apple iPhone 3GS,"iOS 3, upgradable to iOS 6.1.6",,320 x 480 pixels (~165 ppi pixel density),"TFT capacitive touchscreen, 16M colors",3.5 inches (~50.9% screen-to-body ratio),"3.15 MP, f/2.8, autofocus",No,135,"Accelerometer, proximity, compass","2009, June. Released 2009, June"
Apple iPhone 4,"iOS 4, upgradable to iOS 7.1.1",,640 x 960 pixels (~330 ppi pixel density),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",3.5 inches (~54.0% screen-to-body ratio),"5 MP, f/2.8, autofocus, LED flash","VGA, 480p@30fps, videocalling over Wi-Fi only",137,"Accelerometer, gyro, proximity, compass","2010, June"
Apple iPhone 4 CDMA,"iOS 4, upgradable to iOS 7.1.1",,640 x 960 pixels (~330 ppi pixel density),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",3.5 inches (~54.0% screen-to-body ratio),"5 MP, autofocus, LED flash",Videocalling over Wi-Fi only,137,"Accelerometer, gyro, proximity, compass","2011, January"
Apple iPad Wi-Fi + 3G,"iOS 4, upgradable to iOS 5.1.1",,768 x 1024 pixels (~132 ppi pixel density),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",9.7 inches (~63.3% screen-to-body ratio),,,730,"Accelerometer, compass","2010, January"
Apple iPad 2 Wi-Fi,"iOS 4, upgradable to iOS 9.2",,768 x 1024 pixels (~132 ppi pixel density),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",9.7 inches (~65.1% screen-to-body ratio),0.7 MP,VGA,601,"Accelerometer, gyro, compass","2011, March. Released 2011, March"
Apple iPad 2 Wi-Fi + 3G,"iOS 4, upgradable to iOS 9.2",,768 x 1024 pixels (~132 ppi pixel density),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",9.7 inches (~65.1% screen-to-body ratio),0.7 MP,VGA,607,"Accelerometer, gyro, compass","2011, March"
Apple iPad 2 CDMA,"iOS 4, upgradable to iOS 9.2",,768 x 1024 pixels (~132 ppi pixel density),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",9.7 inches (~65.1% screen-to-body ratio),0.7 MP,VGA,607,"Accelerometer, gyro, compass","2011, March"
Apple iPhone 4s,"iOS 5, upgradable to iOS 9.2",,640 x 960 pixels (~330 ppi pixel density),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",3.5 inches (~54.0% screen-to-body ratio),"8 MP, f/2.4, 35mm, autofocus, LED flash","VGA, 480p@30fps, videocalling over Wi-Fi and 3G",140,"Accelerometer, gyro, proximity, compass","2011, October"
Apple iPad 3 Wi-Fi + Cellular,"iOS 5.1, upgradable to iOS 9.2",,1536 x 2048 pixels (~264 ppi pixel density),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",9.7 inches (~65.1% screen-to-body ratio),"5 MP, autofocus","VGA, 480p@30fps, videocalling over Wi-Fi only",662,"Accelerometer, gyro, compass","2012, March"
Apple iPhone 5,"iOS 6, upgradable to iOS 9.2",,640 x 1136 pixels (~326 ppi pixel density),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",4.0 inches (~60.8% screen-to-body ratio),"8 MP, f/2.4, 33mm, autofocus, LED flash","1.2 MP, f/2.4, 35mm, 720p@30fps, face detection, FaceTime over Wi-Fi or Cellular",112,"Accelerometer, gyro, proximity, compass","2012, September"
Apple iPad mini Wi-Fi + Cellular,"iOS 6, upgradable to iOS 9.2",,768 x 1024 pixels (~162 ppi pixel density),"LED-backlit IPS LCD capacitive touchscreen, 16M colors",7.9 inches (~71.7% screen-to-body ratio),"5 MP, autofocus","1.2 MP, 720p@30fps, face detection, FaceTime over Wi-Fi or Cellular",312,"Accelerometer, gyro, compass","2012, October"
Apple iPad 4 Wi-Fi + Cellular,"iOS 6, upgradable to iOS 9.2",,1536 x 2048 pixels (~264 ppi pixel density),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",9.7 inches (~65.1% screen-to-body ratio),"5 MP, autofocus","1.2 MP, 720p@30fps, face detection, FaceTime over Wi-Fi or Cellular",662,"Accelerometer, gyro, compass","2012, October"
Apple iPhone 5s,"iOS 7, upgradable to iOS 9.2",,640 x 1136 pixels (~326 ppi pixel density),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",4.0 inches (~60.8% screen-to-body ratio),"8 MP, f/2.2, 29mm, autofocus, dual-LED (dual tone) flash","1.2 MP, f/2.2, 31mm, 720p@30fps, face detection, HDR, FaceTime over Wi-Fi or Cellular",112,"Fingerprint, accelerometer, gyro, proximity, compass","2013, September"
Apple iPhone 5c,"iOS 7, upgradable to iOS 9.2",,640 x 1136 pixels (~326 ppi pixel density),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",4.0 inches (~59.9% screen-to-body ratio),"8 MP, f/2.4, 33mm, autofocus, LED flash","1.2 MP, 720p@30fps, face detection, FaceTime over Wi-Fi or Cellular",132,"Accelerometer, gyro, proximity, compass","2013, September"
Apple iPad mini 2,"iOS 7, upgradable to iOS 9.2",,1536 x 2048 pixels (~324 ppi pixel density),"LED-backlit IPS LCD capacitive touchscreen, 16M colors",7.9 inches (~71.7% screen-to-body ratio),"5 MP, f/2.4, 33mm, autofocus","1.2 MP,  720p@30fps, face detection, FaceTime over Wi-Fi or Cellular",331,"Accelerometer, gyro, compass","2013, October"
Apple iPad Air,"iOS 7, upgradable to iOS 9.2",,1536 x 2048 pixels (~264 ppi pixel density),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",9.7 inches (~71.6% screen-to-body ratio),"5 MP, f/2.4, 33mm, autofocus","1.2 MP, 720p@30fps, face detection, FaceTime over Wi-Fi or Cellular",469,"Accelerometer, gyro, compass","2013, October"
Apple iPhone 6,"iOS 8, upgradable to iOS 9.2",,750 x 1334 pixels (~326 ppi pixel density),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",4.7 inches (~65.8% screen-to-body ratio),"8 MP, f/2.2, 29mm, phase detection autofocus, dual-LED (dual tone) flash","1.2 MP, f/2.2, 31mm, 720p@30fps, face detection, HDR, FaceTime over Wi-Fi or Cellular",129,"Fingerprint, accelerometer, gyro, proximity, compass, barometer","2014, September"
Apple iPhone 6 Plus,"iOS 8, upgradable to iOS 9.2",,1080 x 1920 pixels (~401 ppi pixel density),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",5.5 inches (~67.8% screen-to-body ratio),"8 MP, f/2.2, 29mm, OIS, phase detection autofocus, dual-LED (dual tone) flash","1.2 MP, f/2.2, 31mm, 720p@30fps, face detection, HDR, FaceTime over Wi-Fi or Cellular",172,"Fingerprint, accelerometer, gyro, proximity, compass, barometer","2014, September"
Apple iPad mini 3,"iOS 8.1, upgradable to iOS 9.2",,1536 x 2048 pixels (~324 ppi pixel density),"LED-backlit IPS LCD capacitive touchscreen, 16M colors",7.9 inches (~71.7% screen-to-body ratio),"5 MP, f/2.4, 32mm, autofocus","1.2 MP, 720p@30fps, face detection, FaceTime over Wi-Fi or Cellular",331,"Fingerprint, accelerometer, gyro, compass","2014, October"
Apple iPad Air 2,"iOS 8.1, upgradable to iOS 9.2",,1536 x 2048 pixels (~264 ppi pixel density),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",9.7 inches (~71.6% screen-to-body ratio),"8 MP, f/2.4, 31mm, autofocus","1.2 MP, f/2.2, 31mm, 720p@30fps, face detection, HDR, FaceTime over Wi-Fi or Cellular",437,"Fingerprint, accelerometer, gyro, compass, barometer","2014, October"
